         2304479 function calls (2304133 primitive calls) in 37.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:849(disable)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:427(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:775(enable_by_count)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:475(istraceback)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:499(iscode)
        1    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:748(wrap_function)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/coroutines.py:20(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:1187(__init__)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:376(read_or_stop)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:412(_has_coroutine_mark)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:485(isframe)
        1    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:640(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        6    0.000    0.000    0.000    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:1215(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:488(generate_tokens)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:306(ismethod)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:419(_unwrap_partial)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:378(isfunction)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:302(isclass)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.gettrace}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


