         2304479 function calls (2304133 primitive calls) in 37.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   34.321   34.321 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_prosses/main_data_prosses.py:22(main_data_prosses)
      120    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      467    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      684    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
     6158    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
     1248    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     1247    0.001    0.000    0.003    0.000 <frozen posixpath>:408(abspath)
       76    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/numpy/_core/numeric.py:303(full)
      624    0.001    0.000    0.008    0.000 /usr/lib/python3.12/inspect.py:976(getabsfile)
      623    0.001    0.000    0.036    0.000 <frozen posixpath>:423(realpath)
     1247    0.001    0.000    0.001    0.000 {built-in method posix._path_normpath}
      114    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
     2318    0.001    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:961(<genexpr>)
       38    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1156(maybe_infer_to_datetimelike)
       76    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:609(_dtype_to_subclass)
     16/6    0.001    0.000    0.042    0.007 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
       38    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:123(maybe_convert_platform)
       38    0.001    0.000    0.049    0.001 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/print_data/create_xlsx_2d.py:5(create_xlsx_2d)
       76    0.001    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/construction.py:696(_sanitize_ndim)
        1    0.001    0.001   37.140   37.140 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/memory_profiler.py:759(f)
      120    0.000    0.000    0.001    0.000 <frozen codecs>:319(decode)
      190    0.000    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
     1872    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:958(<genexpr>)
      114    0.000    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:7688(maybe_extract_name)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
       76    0.000    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1434(_is_dtype_type)
     1376    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:298(ismodule)
       38    0.000    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:2095(create_block_manager_from_blocks)
       38    0.000    0.000    0.001    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/_config/config.py:127(_get_single_key)
      714    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:911(getfile)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
      736    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1743    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
